date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-04-01 00:00:00,17.5,12.2,26.7,3.1,,217,7.1,,997.2,
2022-04-02 00:00:00,13.9,10.4,20,6.1,,230,11.1,,999,
2022-04-03 00:00:00,9.1,4.2,13.5,0,,242,14.3,,1006.2,
2022-04-04 00:00:00,5.9,0.6,11,0,,215,7.3,,1018.6,
2022-04-05 00:00:00,8.5,0.7,16.5,0,,229,8.3,,1012.6,
2022-04-06 00:00:00,12.5,4.3,21,0,,217,4.2,,1011.7,
2022-04-07 00:00:00,10.5,5.2,19.5,3.5,,121,4.8,,1003.3,
2022-04-08 00:00:00,14.6,7.2,23.5,0,,244,8.6,,1002.3,
2022-04-09 00:00:00,16.2,8.6,23.7,0,,240,6.8,,1003.3,
2022-04-10 00:00:00,9.2,5.2,14.6,14.6,,82,5.3,,1006.2,
2022-04-11 00:00:00,8,4.2,13.7,2.8,,333,4.4,,1015.1,
2022-04-12 00:00:00,8.6,1.5,15.1,0,,319,3.7,,1020.1,
2022-04-13 00:00:00,10.3,4,16.1,0,,321,4.1,,1020.7,
2022-04-14 00:00:00,12.7,4.2,20.7,0,,238,4.4,,1021.4,
2022-04-15 00:00:00,15,6.1,23.1,0,,282,3.5,,1018.9,
2022-04-16 00:00:00,14.9,8.1,20.7,0.2,,139,3.9,,1013.9,
2022-04-17 00:00:00,6.2,3.4,12.6,5.1,,52,9.2,,1018.1,
2022-04-18 00:00:00,7.3,4.3,11,0.1,,34,3.6,,1014.6,
2022-04-19 00:00:00,5.1,3.9,7.3,0.5,,252,3.5,,1014.1,
2022-04-20 00:00:00,7.3,0.5,13.3,0.4,,236,5.3,,1013.8,
2022-04-21 00:00:00,8.8,3.2,16.6,0.1,,237,7.8,,1014.7,
2022-04-22 00:00:00,11.1,6.2,17.3,1.1,,30,3,,1012.3,
2022-04-23 00:00:00,13.7,6.7,21,0.2,,283,6.5,,1006.4,
2022-04-24 00:00:00,16.4,7.1,25.1,0,,255,3,,1010.1,
2022-04-25 00:00:00,17.7,10.3,25.5,0.8,,312,4.3,,1007.4,
2022-04-26 00:00:00,17.3,8.7,24.7,0,,267,3,,1012.4,
2022-04-27 00:00:00,17.6,10.8,25.5,1.2,,67,3.6,,1015.7,
2022-04-28 00:00:00,13.6,11.8,16,14.6,,156,4.5,,1018.8,
2022-04-29 00:00:00,13.8,9,18.4,0.9,,57,4.8,,1022.2,
2022-04-30 00:00:00,13.1,8.5,18.7,0,,40,4.3,,1022.7,
2022-05-01 00:00:00,13.7,7.2,20.8,0,,36,2.7,,1021.3,
2022-05-02 00:00:00,13.9,5.5,21.1,0,,53,2.9,,1018.2,
2022-05-03 00:00:00,13,8,18.2,0,,38,3.8,,1016.2,
2022-05-04 00:00:00,14.3,7.8,21.8,0.2,,312,3.8,,1016.6,
2022-05-05 00:00:00,15.4,8.6,22.4,0,,25,2.7,,1021.3,
2022-05-06 00:00:00,15.4,8.3,23,0,,41,2.9,,1023.7,
2022-05-07 00:00:00,14.3,6.7,22.5,0,,56,3.1,,1023.1,
2022-05-08 00:00:00,14.2,7.1,22.2,0,,44,2.3,,1022.5,
2022-05-09 00:00:00,15.5,7.3,24.8,0,,28,2.3,,1022.1,
2022-05-10 00:00:00,15.2,11.2,22.2,0,,34,2.4,,1021.5,
2022-05-11 00:00:00,17.5,9.5,25.7,0,,309,3,,1018.7,
2022-05-12 00:00:00,20.5,10.9,29,0,,237,4.7,,1018.6,
2022-05-13 00:00:00,22.1,12.9,30.8,0,,217,3.6,,1016,
2022-05-14 00:00:00,22.4,17,28.8,0,,96,3.7,,1013.1,
2022-05-15 00:00:00,20.1,16.4,24.7,0,,33,3.9,,1017.2,
2022-05-16 00:00:00,20.4,15.4,27.5,0.4,,48,2.6,,1018.2,
2022-05-17 00:00:00,22,13.8,29.3,0,,332,2.9,,1014.6,
2022-05-18 00:00:00,13.6,9.8,17.3,7.4,,18,4.1,,1017.9,
2022-05-19 00:00:00,15.6,7.9,22,0,,283,3.8,,1026.9,
2022-05-20 00:00:00,18.6,9.2,26.6,0,,231,4.5,,1023.8,
2022-05-21 00:00:00,21.1,11.6,30.1,0,,225,5.3,,1014.8,
2022-05-22 00:00:00,21.3,15.5,26.6,0,,5,3.6,,1008.7,
2022-05-23 00:00:00,18.5,14.2,24,0,,65,4.1,,1010.1,
2022-05-24 00:00:00,17.7,12.8,23.6,0,,42,3.8,,1012.6,
2022-05-25 00:00:00,19.4,11.5,27.7,0,,27,2.7,,1015.6,
2022-05-26 00:00:00,22.9,14.8,30.9,,,306,4,,1016,
2022-05-27 00:00:00,22.6,16.3,29,0,,32,3.3,,1017.6,
2022-05-28 00:00:00,21.2,15.1,29.6,0.2,,246,3.6,,1010.8,
2022-05-29 00:00:00,18.4,14.7,22.7,8.1,,47,6,,1010.8,
2022-05-30 00:00:00,20,16,26.3,7.5,,327,3.7,,1010.1,
2022-05-31 00:00:00,20.8,16.3,30,2.3,,285,3.2,,1015,
2022-06-01 00:00:00,22.5,15.4,30.6,0,,350,2.1,,1015.8,
2022-06-02 00:00:00,24.1,16.4,32.2,0,,356,1.4,,1015.6,
2022-06-03 00:00:00,24,18.3,30.1,0,,36,4.7,,1018.6,
2022-06-04 00:00:00,24.5,18.7,30.6,0,,42,3.2,,1018.8,
2022-06-05 00:00:00,25.1,19.2,32.6,0.4,,330,3.3,,1013.7,
2022-06-06 00:00:00,20,16.2,25.3,2.5,,43,6.2,,1015.7,
2022-06-07 00:00:00,20.4,13.9,27.2,0,,23,2.7,,1015.1,
2022-06-08 00:00:00,20.6,15.1,26.7,0,,49,3.6,,1011.7,
2022-06-09 00:00:00,20.3,15.1,27.9,0.4,,21,2,,1008.6,
2022-06-10 00:00:00,19.8,15.7,25.2,0.8,,50,5.1,,1009.9,
2022-06-11 00:00:00,19.4,18.1,21.2,8.9,,39,3.2,,1012.3,
2022-06-12 00:00:00,21.9,17.5,28.7,5.8,,10,3.2,,1011.6,
2022-06-13 00:00:00,23.1,19.3,29.7,0.7,,346,2,,1012.9,
2022-06-14 00:00:00,20.4,15.8,29.3,3,,232,3.2,,1013.9,
2022-06-15 00:00:00,19.5,14.5,25.5,5.6,,27,3,,1020,
2022-06-16 00:00:00,21.4,14.5,27.7,0.3,,351,1.8,,1019.4,
2022-06-17 00:00:00,21.9,17.3,29.8,0,,316,2.7,,1016.6,
2022-06-18 00:00:00,20.9,17.5,26.9,0,,39,2.9,,1018.7,
2022-06-19 00:00:00,21.7,13.8,29.7,0,,10,2,,1019.1,
2022-06-20 00:00:00,23.1,15.4,30.2,0,,23,1.7,,1013.4,
2022-06-21 00:00:00,25.7,17.3,35,0,,250,4.4,,1006.5,
2022-06-22 00:00:00,22.9,15,29.4,0,,3,2.7,,1008.6,
2022-06-23 00:00:00,21.6,14.2,27.9,0,,313,2.7,,1011.6,
2022-06-24 00:00:00,23.2,15.1,30.5,0,,353,2.6,,1013.3,
2022-06-25 00:00:00,24.2,18.3,29.8,0,,12,1.2,,1012.8,
2022-06-26 00:00:00,21.6,17.9,28.3,1.4,,356,2.1,,1015.2,
2022-06-27 00:00:00,23.2,16.4,31.8,0,,10,2.7,,1017.3,
2022-06-28 00:00:00,23.9,19.6,30.3,1.5,,342,2.4,,1016.4,
2022-06-29 00:00:00,26.3,17.9,34.9,0.3,,19,2.9,,1015.2,
