date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-04-01 00:00:00,10.9,7.2,16.5,3.2,,300,3,,1003.9,
2023-04-02 00:00:00,11.3,8.7,17.2,2,,225,5.3,,1005.2,
2023-04-03 00:00:00,10.8,6.3,15.5,2.3,,55,5.3,,1010.8,
2023-04-04 00:00:00,4.3,3.4,7.5,11.3,,46,12.6,,1009.6,
2023-04-05 00:00:00,6.3,4,9.8,1.1,,235,7.2,,1012.1,
2023-04-06 00:00:00,6.8,3.4,12.1,0,,231,10.2,,1011,
2023-04-07 00:00:00,6.3,1.8,10.4,0,,228,7.1,,1015.7,
2023-04-08 00:00:00,8.5,5.2,12.9,0,,42,3,,1021.4,
2023-04-09 00:00:00,10.6,6.2,16.5,0.5,,55,4.5,,1021.8,
2023-04-10 00:00:00,11.6,6.7,17.1,0,,44,5.9,,1018.4,
2023-04-11 00:00:00,10.9,8.5,13.8,7.6,,349,5.4,,1009.6,
2023-04-12 00:00:00,10.6,8.2,14.3,5.7,,189,2.9,,1004,
2023-04-13 00:00:00,12,5.5,19.5,0,,226,3.9,,1008,
2023-04-14 00:00:00,14.2,7.1,22.5,4.7,,34,5.3,,1006.8,
2023-04-15 00:00:00,14.4,8.3,22,0,,302,3,,1010.3,
2023-04-16 00:00:00,12.5,9.3,18.5,6.6,,42,5.4,,1012.9,
2023-04-17 00:00:00,10.6,9.2,11.7,9.1,,55,7.7,,1014.2,
2023-04-18 00:00:00,11.5,8.1,16.8,0.4,,55,6.6,,1014.8,
2023-04-19 00:00:00,11.9,8.5,16.4,0.4,,339,4.1,,1012,
2023-04-20 00:00:00,11.9,8.8,17.6,4.9,,313,2.4,,1011.5,
2023-04-21 00:00:00,12.8,8.6,18.5,0.6,,319,2.7,,1011.6,
2023-04-22 00:00:00,12.3,6.6,18.6,0.4,,25,2.3,,1015.2,
2023-04-23 00:00:00,13.5,6.5,21.4,0,,339,2.1,,1016.7,
2023-04-24 00:00:00,14.7,7.3,22,0.2,,88,2.3,,1012.5,
2023-04-25 00:00:00,13.5,10.8,17,4.2,,340,2.7,,1006.6,
